Date,K,BRO,LIN,DTE,CINF,LHX,RTX,CPAY,BKNG,IDXX,A,FSLR,MA,CAH,PNW,RL,XYL,AMP,MSFT,SBAC,WMB,WTW,DOC,HSY,BG,UHS,VICI,ROP,CB,NWSA,LYB,HIG,V,EQIX,ABT,NEM,KEYS,BMY,GEN,BIIB,NVDA,CNC,WELL,EXR,APH,BXP,MMM,ABNB,MRK,AMZN
2024-01-08,54.302024841308594,71.65996551513672,402.0291442871094,106.74552154541016,104.15514373779297,201.16275024414062,83.4483871459961,284.3900146484375,3425.3896484375,543.9600219726562,132.18008422851562,166.1300048828125,418.9314880371094,102.86327362060547,70.46458435058594,142.3917694091797,111.2730941772461,378.1971435546875,371.1646728515625,242.64439392089844,33.81663131713867,238.5389862060547,18.412599563598633,184.4172821044922,95.43626403808594,153.5984649658203,29.928194046020508,525.018798828125,222.52035522460938,24.363126754760742,89.81110382080078,80.21280670166016,260.1108093261719,783.1935424804688,109.12007904052734,39.019412994384766,153.00999450683594,48.79612350463867,22.23895263671875,257.9800109863281,52.23337936401367,76.76000213623047,87.3489761352539,151.73995971679688,47.76185989379883,66.12369537353516,87.53898620605469,140.0800018310547,113.2826156616211,149.10000610351562
2024-01-09,54.157955169677734,71.34231567382812,400.4536437988281,106.19992065429688,103.20555877685547,198.33633422851562,83.40950775146484,283.69000244140625,3451.494384765625,553.0399780273438,129.50436401367188,166.91000366210938,419.5469970703125,101.1027603149414,69.91592407226562,140.24559020996094,110.54344177246094,369.8056640625,372.25433349609375,239.8704376220703,33.598453521728516,236.27345275878906,18.338876724243164,185.9970245361328,93.03976440429688,153.46913146972656,29.517837524414062,527.7393188476562,221.6448211669922,23.977510452270508,88.42668151855469,80.07585906982422,260.8934631347656,778.7376708984375,109.44044494628906,37.516056060791016,151.4199981689453,48.31560134887695,22.014511108398438,255.83999633789062,53.120052337646484,78.01000213623047,87.135009765625,150.02169799804688,47.400848388671875,66.3376235961914,87.73197937011719,139.52999877929688,114.29596710205078,151.3699951171875
2024-01-10,53.58170700073242,72.40446472167969,399.6560974121094,106.0850601196289,104.08731842041016,198.30709838867188,83.68169403076172,280.260009765625,3483.069091796875,554.239990234375,129.91067504882812,162.3300018310547,425.176025390625,101.90477752685547,69.55644989013672,140.882568359375,110.67162322998047,371.85186767578125,379.16864013671875,237.2234344482422,33.41823196411133,241.7599639892578,18.403383255004883,182.6737823486328,91.34586334228516,156.03558349609375,29.387266159057617,526.5279541015625,221.58580017089844,23.918184280395508,87.64620208740234,80.62359619140625,262.1120910644531,784.29541015625,111.06172180175781,36.80802536010742,153.0,47.731441497802734,22.26822853088379,254.22999572753906,54.32959747314453,78.41000366210938,88.2437744140625,148.89199829101562,47.57887649536133,67.03524017333984,87.08866119384766,139.75999450683594,114.71095275878906,153.72999572753906
2024-01-11,53.063079833984375,72.31510925292969,399.7348327636719,103.39534759521484,104.91094207763672,197.7710418701172,82.94287109375,279.4800109863281,3513.862548828125,558.7100219726562,128.51336669921875,160.2899932861328,423.6372375488281,103.41100311279297,67.1915512084961,139.67718505859375,110.10958099365234,372.1272888183594,381.01116943359375,233.78526306152344,32.99136734008789,243.3655242919922,18.69828224182129,183.41549682617188,91.74047088623047,157.5575408935547,29.06084632873535,528.613037109375,224.00579833984375,23.947845458984375,87.999267578125,80.97571563720703,261.58697509765625,781.0289916992188,110.72028350830078,36.39096450805664,152.08999633789062,47.3168830871582,22.4731502532959,247.2100067138672,54.80141830444336,79.47000122070312,87.51432800292969,143.1011199951172,47.68273162841797,65.04473114013672,87.58723449707031,139.4499969482422,114.29596710205078,155.17999267578125
2024-01-12,53.226348876953125,73.93315124511719,402.6495056152344,104.1898193359375,104.03887939453125,202.52725219726562,83.92474365234375,283.989990234375,3464.52197265625,535.2899780273438,129.3656463623047,160.44000244140625,426.0000305175781,103.46968078613281,67.39966583251953,135.25747680664062,110.16875457763672,370.2876281738281,384.8150329589844,234.32247924804688,33.124168395996094,244.67556762695312,19.20513343811035,183.63705444335938,91.32661437988281,157.75650024414062,29.004886627197266,530.3903198242188,223.84840393066406,23.967620849609375,87.73910522460938,80.35951232910156,261.7257080078125,794.6597900390625,111.12998962402344,36.507347106933594,151.9499969482422,47.40167999267578,22.531696319580078,248.1199951171875,54.689456939697266,78.80999755859375,89.41089630126953,144.60105895996094,47.722293853759766,65.0726318359375,86.94392395019531,137.13999938964844,114.48898315429688,154.6199951171875
2024-01-16,51.99701690673828,74.00264739990234,400.41424560546875,102.99333953857422,103.96136474609375,199.885986328125,83.11785888671875,283.989990234375,3465.807861328125,520.0,129.35572814941406,149.10000610351562,425.2554626464844,104.04673767089844,66.08478546142578,134.86546325683594,109.40950775146484,367.4052429199219,386.59808349609375,232.47640991210938,32.792171478271484,242.1046905517578,19.1037654876709,184.49435424804688,91.23999786376953,157.11984252929688,29.004886627197266,533.448486328125,224.02545166015625,23.48312759399414,87.31169891357422,80.70184326171875,262.7857666015625,798.6573486328125,110.97392272949219,34.926395416259766,150.6999969482422,47.10960006713867,22.590246200561523,246.19000244140625,56.360836029052734,78.72000122070312,88.8176040649414,142.82582092285156,47.54425811767578,64.62617492675781,86.55793762207031,135.02000427246094,114.35387420654297,153.16000366210938
2024-01-17,52.371578216552734,73.9232177734375,400.5127258300781,101.18425750732422,103.97103881835938,199.34994506835938,82.6803970336914,277.92999267578125,3452.156982421875,515.47998046875,126.9673843383789,147.25999450683594,424.3321838378906,103.14691925048828,66.10369873046875,134.10107421875,108.15726470947266,366.0181579589844,385.8056335449219,227.4949951171875,32.24200439453125,243.3655242919922,18.4678955078125,184.5039825439453,90.95126342773438,153.8968963623047,28.51991844177246,533.3689575195312,224.5369873046875,23.21615982055664,86.13168334960938,80.57469940185547,264.1629333496094,778.9035034179688,111.13975524902344,33.68491744995117,149.75999450683594,47.090755462646484,22.26822853088379,245.27000427246094,56.031959533691406,78.0,87.18363952636719,140.66134643554688,47.14369201660156,62.24501037597656,85.303466796875,134.97999572753906,114.00643157958984,151.7100067138672
2024-01-18,52.400394439697266,73.6055679321289,401.5958557128906,100.36107635498047,104.91094207763672,200.50975036621094,83.08869171142578,277.55999755859375,3490.646240234375,525.280029296875,129.28636169433594,147.4499969482422,427.60833740234375,104.0565185546875,65.54558563232422,135.23785400390625,109.8433609008789,368.7923583984375,390.1642150878906,227.18243408203125,32.109195709228516,244.05502319335938,18.062410354614258,184.43653869628906,90.56627655029297,155.56805419921875,28.221477508544922,538.085205078125,226.28802490234375,23.31503677368164,86.69847869873047,81.17133331298828,265.6589660644531,773.9114379882812,111.22754669189453,33.57822799682617,152.3699951171875,47.194393157958984,22.414600372314453,246.97000122070312,57.08556365966797,76.5999984741211,86.5708999633789,139.01901245117188,47.821197509765625,61.85435485839844,85.59297180175781,137.0399932861328,114.4021224975586,153.5
2024-01-19,51.795326232910156,74.28058624267578,401.133056640625,100.04521179199219,107.8372573852539,199.6228485107422,83.14701843261719,282.8599853515625,3577.397705078125,523.8200073242188,130.03952026367188,145.9199981689453,433.6245422363281,103.1664810180664,65.86720275878906,135.32606506347656,110.30679321289062,375.47210693359375,394.9190368652344,225.51217651367188,32.118690490722656,247.00018310546875,18.200641632080078,183.4636688232422,89.1996078491211,156.9805908203125,28.501264572143555,544.5885620117188,233.45947265625,23.759981155395508,86.77279663085938,83.1568374633789,268.3934020996094,782.6378173828125,111.88114929199219,33.53943634033203,153.6300048828125,47.21324157714844,22.912267684936523,249.9600067138672,59.46866989135742,74.1500015258789,87.38789367675781,139.3227996826172,48.27122116088867,63.55651092529297,86.65442657470703,139.92999267578125,114.73990631103516,155.33999633789062
2024-01-22,51.48799514770508,74.7372055053711,400.2370300292969,99.45175170898438,108.47677612304688,201.57212829589844,82.6512222290039,287.4599914550781,3468.102783203125,531.4299926757812,131.3575439453125,149.91000366210938,436.5730895996094,103.02954864501953,65.64964294433594,137.28602600097656,111.79568481445312,380.82373046875,392.7793884277344,228.35452270507812,32.223026275634766,245.36508178710938,18.16377830505371,181.34446716308594,85.42682647705078,155.22984313964844,28.659812927246094,545.9984741210938,235.1121063232422,23.977510452270508,87.1165771484375,83.78280639648438,268.690673828125,782.2283325195312,111.39338684082031,33.94679641723633,154.99000549316406,46.7044563293457,22.990333557128906,248.3000030517578,59.63160705566406,75.16999816894531,86.5028305053711,141.1549835205078,48.449256896972656,64.83079528808594,86.86351013183594,142.00999450683594,115.26105499267578,154.77999877929688
